LEA Record ID,Person Number,Date of Stop,Time of Stop,Duration of Stop,Is Stop Made in Response to Call for Service,Information Based Stop,Type Of Stop,Officer Type of Assignment,Location,City,Is Location a K12 Public School,If K12 School Is Stop of a Student,School Name,Education Code Section,Education Code Subdivision,Race Perceived Prior To Stop,Perceived Race or Ethnicity,Perceived Gender,Perceived Gender Nonconforming,Is LGBT,Perceived Age,Person had Limited or No English Fluency,Perceived or Known Disability,City of Residence,Reason for Stop,Reason for Stop Narrative,Traffic Violation Type,Traffic Violation Offense Codes,Suspicion Offense Code,Suspicion SubType,Actions Taken,Basis for Search,Basis for Search Narrative,Basis for Property Seizure,Type of Property Seized,Contraband or Evidence,Other Contraband Desc,Warning Offense Codes,Citation Offense Codes,Result of Stop,In field cite and release Offense Codes,Custodial arrest Offense Codes,LAT,LONG
BPD000021033,1,10/01/2020,11:14,8,false,,Vehicle,"Patrol, traffic enforcement, field operations",2900 block of Shattuck Ave,Berkeley,false,,,,,true,Hispanic/Latino,Male,false,false,30,false,None,OAKLAND,Traffic Violation,Talking on cell while driving not hands free.,Moving Violation,VC 23123(A) USE CELLPH W/DRIV W/O HFD (I),,,24,,,,,None,,,VC 23123(A) USE CELLPH W/DRIV W/O HFD (I) | VC 12500(A) DRIVE W/O LICENSE (M) | VC 27315 SEATBELT VIOLATION (I),Citation for infraction,,,37.85531305,-122.2665713
BPD000021032,2,10/01/2020,09:40,15,true,,Pedestrian,"Patrol, traffic enforcement, field operations",3000 block of San Pablo Ave,Berkeley,false,,,,,false,White,Female,false,false,40,false,None,BERKELEY,Reasonable suspicion,Subject was inside a vacant apartment.,,,PC 602 TRESPASSING (M),Witness or victim ID of suspect at the scene|Officer witnessed commission of a crime,17|18|19|20,Evidence of crime,The subject stated that they were in possession of a key faub to the building which was not there’s.,,,None,,PC 602 TRESPASSING (M),,Warning (verbal or written),,,37.85185569,-122.2865526
BPD000021035,1,10/01/2020,14:32,60,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2000 block of 10th St,Berkeley,false,,,,,true,Black/African American,Male,false,false,35,false,None,BERKELEY,Reasonable suspicion,Auto burglary in progress,,,,Witness or victim ID of suspect at the scene,5|20,Evidence of crime,Probable cause,,,Suspected stolen property|Ammunition|Drug paraphernalia,,,,Custodial arrest without warrant,,PC 484 THEFT (M) | VC 10852 TAMPER WITH VEHICLE (M),37.86861931,-122.2932129
BPD000021034,1,10/01/2020,15:07,7,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2600 block of Durant Ave,Berkeley,false,,,,,true,White,Male,false,false,50,false,None,BERKELEY,Reasonable suspicion,Indecent exposure urinating in public poss of knife,,,,Matched suspect description|Other reasonable suspicion of a crime,4|18,Consent given|Officer safety/safety of others|Suspected weapons,Possession of knife,,,Weapon(s) other than a firearm,,AA 65002 LOCAL ORDINANCE VIOL (I),,Warning (verbal or written),,,37.86802497,-122.2564931
BPD000021029,1,10/01/2020,10:15,5,false,,Vehicle,"Patrol, traffic enforcement, field operations",College and Ashby,Berkeley,false,,,,,true,White,Male,false,false,60,false,None,OAKLAND,Traffic Violation,Failed to stop at stop sign,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),Citation for infraction,,,37.8570304,-122.2530548
BPD000021028,1,10/01/2020,09:49,5,false,,Vehicle,"Patrol, traffic enforcement, field operations",2800 block of College Ave,Berkeley,false,,,,,true,Middle Eastern/South Asian,Male,false,false,35,false,None,BERKELEY,Traffic Violation,Failed to stop at stop sign,Moving Violation,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),,,24,,,,,None,,,VC 22450(A) FAIL STOP VEH:XWALK/ETC (I),Citation for infraction,,,37.85856477,-122.2529208
BPD000021031,1,10/01/2020,09:46,10,false,,Vehicle,"Patrol, traffic enforcement, field operations",2600 block of Alcatraz Ave,Berkeley,false,,,,,true,White,Female,false,false,20,false,None,CORTE MADERA,Traffic Violation,Crossing Double Yellow,Moving Violation,VC 21460(A) VEH CROSS DBL SOLID LINE (I),,,24,,,,,None,,,VC 21460(A) VEH CROSS DBL SOLID LINE (I),Citation for infraction,,,37.85125378,-122.2527151
BPD000021030,1,10/01/2020,05:30,30,true,,Pedestrian,"Patrol, traffic enforcement, field operations",2000 block of Allston Way,Berkeley,false,,,,,true,Black/African American,Male,false,false,60,false,None,BERKELEY,Reasonable suspicion,Subject smashed rear window of parked vehicle,,,VC 10852 TAMPER WITH VEHICLE (M),Matched suspect description,18|20|5,Officer safety/safety of others,Search prior to hand off to ambulance personnel,,,None,,,,Noncriminal transport or caretaking transport (including transport by officer / ambulance or other agency),,,37.86913999,-122.2698223
BPD000021036,1,10/01/2020,16:42,15,false,,Pedestrian,"Patrol, traffic enforcement, field operations",2100 block of Center St,Berkeley,false,,,,,true,White,Male,false,false,40,false,None,BERKELEY,Reasonable suspicion,"Subject shouted that he would, in summary, “pee in public” then walked off to construction site. Bystanders told me subject was urinating. I walked around corner and saw subject urinating in public.",,,PC 375(A) OFFENSIVE SUB:PUB PLACE (M),Officer witnessed commission of a crime,4,,,,,Other contraband or evidence,Open container of alcohol,,,In-field cite and release,PC 375(A) OFFENSIVE SUB:PUB PLACE (M) | PC 148.9(A) FALSE ID TO SPECIFIC PO'S (M),,37.87048074,-122.2664687
BPD000021042,1,10/01/2020,22:26,8,false,,Bicycle,"Patrol, traffic enforcement, field operations",1600 block of Cedar St,Berkeley,false,,,,,false,Hispanic/Latino,Male,false,false,40,true,None,BERKELEY,Traffic Violation,Riding bike on sidewalk,Non-moving violation / including registration,VC 21456.2(A) BICYCLE OPR OBEY VEH LAWS (I),,,4,,,,,None,,VC 21456.2(A) BICYCLE OPR OBEY VEH LAWS (I),,Warning (verbal or written),,,37.87743879,-122.2784665
