Label (Grouping),Total,"Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED!!Household income in the past 12 months,PERCENT ALLOCATED!!Family income in the past 12 months,PERCENT ALLOCATED!!Nonfamily income in the past 12 months
"Census Tract 4211, Alameda County, California",,,,,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,,,,,
        Estimate,845,0.60%,0.00%,0.70%,3.30%,3.70%,9.30%,3.90%,12.20%,13.50%,52.80%,206199.00,"224,642",,22.70%,(X),(X)
        Margin of Error,±82,±0.8,±4.6,±1.1,±2.1,±3.6,±3.7,±2.8,±4.1,±4.9,±7.8,±12 656,"±18,376",,(X),(X),(X)
    Families,,,,,,,,,,,,,,,,,
        Estimate,617,0.00%,0.00%,0.00%,0.00%,4.10%,9.90%,4.40%,9.90%,17.70%,54.10%,218750.00,"241,082",,(X),24.50%,(X)
        Margin of Error,±69,±6.3,±6.3,±6.3,±6.3,±4.7,±4.8,±4.0,±3.9,±6.0,±9.1,±50 056,"±24,050",,(X),(X),(X)
    Married-couple families,,,,,,,,,,,,,,,,,
        Estimate,550,0.00%,0.00%,0.00%,0.00%,1.30%,8.40%,4.90%,9.50%,16.20%,59.80%,250 000+,N,,(X),(X),(X)
        Margin of Error,±73,±7.0,±7.0,±7.0,±7.0,±2.0,±4.5,±4.5,±4.2,±6.0,±8.4,***,N,,(X),(X),(X)
    Nonfamily households,,,,,,,,,,,,,,,,,
        Estimate,228,2.20%,0.00%,2.60%,12.30%,2.60%,7.90%,5.30%,21.90%,2.60%,42.50%,130500.00,"169,782",,(X),(X),12.30%
        Margin of Error,±78,±3.2,±16.0,±4.3,±9.4,±3.9,±6.8,±5.6,±12.1,±4.6,±19.5,±91 367,"±35,055",,(X),(X),(X)
"Census Tract 4212, Alameda County, California",,,,,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,,,,,
        Estimate,"1,429",0.00%,0.00%,1.30%,3.50%,2.00%,4.00%,10.60%,15.00%,15.00%,48.60%,198576.00,"281,487",,27.30%,(X),(X)
        Margin of Error,±123,±2.8,±2.8,±1.2,±2.8,±1.9,±2.5,±4.7,±5.1,±6.9,±7.3,±43 953,"±45,328",,(X),(X),(X)
    Families,,,,,,,,,,,,,,,,,
        Estimate,"1,054",0.00%,0.00%,0.00%,0.50%,2.10%,3.30%,3.30%,16.40%,15.00%,59.40%,250 000+,"336,568",,(X),26.70%,(X)
